#Name	Accession	Description	Length	Related
LCM	PF04072.17	Leucine carboxyl methyltransferase	188	No
OST-HTH	PF12872.10	OST-HTH/LOTUS domain	72	No
OTOS	PF15182.9	Otospiralin	69	No
PCI	PF01399.30	PCI domain	105	No
LcrV	PF04792.15	V antigen (LcrV) protein	323	No
LDB19	PF13002.10	Arrestin_N terminal like	193	No
LDcluster4	PF18306.4	SLOG cluster4 family	151	No
Ldh_1_C	PF02866.21	"lactate/malate dehydrogenase, alpha/beta C-terminal domain"	167	No
PAF	PF15715.8	PCNA-associated factor histone like domain	135	No
Ldh_2	PF02615.17	Malate/L-lactate dehydrogenase	333	No
Ldi	PF18566.4	Linalool dehydratase/isomerase	319	No
OTT_1508_deam	PF14441.9	OTT_1508-like deaminase	63	No
TF_Otx	PF03529.16	Otx1 transcription factor	92	No
LdpA_C	PF12617.11	Iron-Sulfur binding protein C terminal	187	No
VirB7	PF17413.5	Outer membrane lipoprotein virB7	35	No
TOM13	PF08219.14	Outer membrane protein TOM13	84	No
LD_cluster2	PF18163.4	SLOG cluster2	261	No
LD_cluster3	PF18180.4	SLOG cluster3 family	170	No
Osw5	PF17062.8	Outer spore wall 5	70	No
Wza_C	PF18412.4	Outer-membrane lipoprotein Wza C-terminal domain	30	No
OCIA	PF07051.14	Ovarian carcinoma immunoreactive antigen (OCIA)	87	No
OLD-like_TOPRIM	PF20469.1	"Overcoming lysogenization defect protein-like, TOPRIM domain"	67	No
OAD_gamma	PF04277.16	"Oxaloacetate decarboxylase, gamma chain"	77	No
OSR1_C	PF12202.11	Oxidative-stress-responsive kinase 1 C-terminal domain	63	No
PDDEXK_5	PF11645.11	PD-(D/E)XK endonuclease	137	No
FAD_binding_6	PF00970.27	Oxidoreductase FAD-binding domain	99	No
Oxidored-like	PF09791.12	"Oxidoreductase-like protein, N-terminal"	46	No
PDDEXK_3	PF13366.9	PD-(D/E)XK nuclease superfamily	118	No
zf-P11	PF03854.17	P-11 zinc finger	50	No
Lebercilin	PF15619.9	Ciliary protein causing Leber congenital amaurosis disease	193	No
PDDEXK_9	PF08011.14	PD-(D/E)XK nuclease superfamily	105	No
PDDEXK_11	PF20472.1	PD-(D/E)XK nuclease superfamily domain	144	No
Lectin_leg-like	PF03388.16	Legume-like lectin family	230	No
Lectin_legB	PF00139.22	Legume lectin domain	249	No
Lectin_like	PF18560.4	Lectin like domain	157	No
PDGLE	PF13190.9	PDGLE domain	102	No
PDZ_3	PF17815.4	PDZ domain	145	No
LEF-4	PF05098.15	Late expression factor 4 (LEF-4)	472	No
LEF-8	PF04941.15	Late expression factor 8 (LEF-8)	730	No
LEF-9	PF05094.15	Late expression factor 9 (LEF-9)	490	No
Leg1	PF05612.15	Leg1	331	No
LegC3_N	PF18654.4	LegC3 N-terminal coiled-coil domain	297	No
Legionella_OMP	PF05150.15	Legionella pneumophila major outer membrane protein precursor	290	No
PDZ_4	PF17816.4	PDZ domain	114	No
PEHE	PF15275.9	PEHE domain	133	No
P120R	PF08062.14	P120R (NUC006) repeat	22	No
PelD_GGDEF	PF16963.8	PelD GGDEF domain	125	No
RhoGAP-FF1	PF16512.8	p190-A and -B Rho GAPs FF domain	80	No
P2	PF07194.14	P2 response regulator binding domain	81	No
Lentivirus_VIF	PF05851.14	Lentivirus virion infectivity factor (VIF)	251	No
Lenti_VIF_2	PF07401.15	Bovine Lentivirus VIF protein	198	No
Leo1	PF04004.16	Leo1-like protein	165	No
PBD	PF00786.31	P21-Rho-binding domain	59	No
PemK_toxin	PF02452.20	"PemK-like, MazF-like toxin of type II toxin-antitoxin system"	111	No
P22_AR_C	PF10548.12	P22AR C-terminal domain	73	No
LepB_GAP_N	PF18172.4	LepB GAP domain N-terminal subdomain	188	No
LepB_N	PF18640.4	LepB N-terminal domain	183	No
PBP3	PF18056.4	Penicillin Binding Protein 3 Domain	110	No
P53_tetramer	PF07710.14	P53 tetramerisation motif	42	No
LETM1_RBD	PF07766.16	"LETM1-like, RBD"	229	No
Penicillinase_R	PF03965.19	Penicillinase repressor	115	No
PBP_N	PF17093.8	Penicillin-binding protein N-terminus	138	No
P53_TAD	PF08563.14	P53 transactivation motif	25	No
PCB_OB	PF17092.8	Penicillin-binding protein OB-like domain	112	No
Leukocidin	PF07968.15	Leukocidin/Hemolysin toxin family	250	No
MBDa	PF16564.8	p55-binding region of Methyl-CpG-binding domain proteins MBD	71	No
Leu_Phe_trans	PF03588.17	Leucyl/phenylalanyl-tRNA protein transferase	169	No
Leu_zip	PF15294.9	Leucine zipper	276	No
Peptidase_C39	PF03412.18	Peptidase C39 family	133	No
P63C	PF10546.12	P63C domain	93	No
P68HR	PF08061.14	P68HR (NUC004) repeat	35	No
PA	PF02225.25	PA domain	92	No
Lgl_C	PF08596.13	"Lethal giant larvae(Lgl) like, C-terminal"	393	No
LGT	PF01790.21	Prolipoprotein diacylglyceryl transferase	242	No
PYRIN	PF02758.19	PAAD/DAPIN/Pyrin domain	75	No
PAAR_motif	PF05488.16	PAAR motif	70	No
M20_dimer	PF07687.17	Peptidase dimerisation domain	109	No
Peptidase_S48	PF03574.18	Peptidase family S48	149	No
LicD	PF04991.16	LicD family	228	No
PaaX	PF07848.15	PaaX-like protein	70	No
LidA_Long_CC	PF18641.4	LidA long coiled-coil domain	177	No
LIDHydrolase	PF10230.12	Lipid-droplet associated hydrolase	266	No
Peptidase_S49_N	PF08496.13	Peptidase family S49 N-terminal	147	No
PaaX_C	PF08223.14	PaaX-like protein C-terminal domain	99	No
LIF_OSM	PF01291.20	LIF / OSM family	162	No
Pab87_oct	PF13969.9	Pab87 octamerisation domain	97	No
Pacifastin_I	PF05375.16	Pacifastin inhibitor (LCMII)	40	No
Ligase_CoA	PF00549.22	CoA-ligase	153	No
Ligase_CoA_2	PF19045.3	Ligase-CoA domain	162	No
LigB	PF02900.21	Catalytic LigB subunit of aromatic ring-opening dioxygenase	273	No
Inhibitor_I48	PF10467.12	Peptidase inhibitor clitocypin	142	No
PADR1	PF08063.15	PADR1 (NUC008) domain	53	No
LigXa_C	PF19301.2	LigXa C-terminal domain like	303	No
Inhibitor_I66	PF16850.8	Peptidase inhibitor I66	146	No
Peptidase_M15_3	PF08291.14	Peptidase M15	111	No
M64_N	PF16217.8	Peptidase M64 N-terminus	122	No
PAH	PF02671.24	Paired amphipathic helix repeat	45	No
LIME1	PF15332.9	Lck-interacting transmembrane adapter 1	239	No
LIM_bind	PF01803.19	LIM-domain binding protein	242	No
Lin-8	PF03353.18	Ras-mediated vulval-induction antagonist	306	No
Peptidase_S24	PF00717.26	Peptidase S24-like	116	No
LIN37	PF15306.9	LIN37	155	No
Pax7	PF12360.11	Paired box protein 7	45	No
LIN9_C	PF19438.2	LIN9 C-terminal	273	No
PAN_1	PF00024.29	PAN domain	79	No
LINES_N	PF14694.9	Lines N-terminus	350	No
PAN_4	PF14295.9	PAN domain	51	No
Linocin_M18	PF04454.15	Encapsulating protein for peroxidase	255	No
LIP	PF03583.17	Secretory lipase	286	No
Hormone_3	PF00159.21	Pancreatic hormone peptide	36	No
Lipase	PF00151.22	Lipase	336	No
PAN_2	PF08276.14	PAN-like domain	67	No
Lipase_2	PF01674.21	Lipase (class 2)	219	No
Peptidase_S7	PF00949.24	"Peptidase S7, Flavivirus NS3 serine protease"	131	No
Lipase_bact_N	PF12262.11	Bacterial virulence factor lipase N-terminal	237	No
PAN_3	PF08277.15	PAN-like domain	71	No
Lipase_chap	PF03280.17	Proteobacterial lipase chaperone protein	192	No
Lipase_GDSL	PF00657.25	GDSL-like Lipase/Acylhydrolase	245	No
Lipase_GDSL_2	PF13472.9	GDSL-like Lipase/Acylhydrolase family	179	No
Lipase_GDSL_3	PF14606.9	GDSL-like Lipase/Acylhydrolase family	181	No
Lipase_GDSL_lke	PF16255.8	GDSL-like Lipase/Acylhydrolase	203	No
Pdase_C33_assoc	PF14756.9	Peptidase_C33-associated domain	147	No
PAP2_C	PF14360.9	PAP2 superfamily C-terminal	74	No
Lipid_desat	PF10520.12	Lipid desaturase domain	177	No
Peptidase_C39_2	PF13529.9	Peptidase_C39 like family	144	No
N-glycanase_C	PF09113.13	"Peptide-N-glycosidase F, C terminal"	136	No
Lipl32	PF12103.11	Surface lipoprotein of Spirochaetales order	179	No
LpoB	PF13036.9	Peptidoglycan-synthase activator LpoB	147	No
PTH2	PF01981.19	Peptidyl-tRNA hydrolase PTH2	117	No
PAPA-1	PF04795.15	PAPA-1-like conserved region	86	No
PapC_C	PF13953.9	PapC C-terminal domain	66	No
PEP-utilisers_N	PF05524.16	"PEP-utilising enzyme, N-terminal"	115	No
PIF3	PF05006.15	Per os infectivity factor 3	149	No
PIF6	PF05341.14	Per os infectivity factor 6	106	No
PerB	PF06590.14	PerB protein	129	No
Lipoprotein_1	PF00820.22	Borrelia lipoprotein	261	No
PCP	PF02429.18	Peridinin-chlorophyll A binding protein	145	No
Lipoprotein_11	PF03260.16	Lepidopteran low molecular weight (30 kD) lipoprotein	231	No
Papilloma_E5	PF03025.17	Papillomavirus E5	72	No
Lipoprotein_16	PF03923.16	Uncharacterized lipoprotein	159	No
Papilloma_E5A	PF05776.15	Papillomavirus E5A protein	91	No
Lipoprotein_18	PF06804.14	NlpB/DapX lipoprotein	321	No
HTH_54	PF18607.4	ParA helix turn helix domain	92	No
Lipoprotein_2	PF00921.20	Borrelia lipoprotein	296	No
Lipoprotein_20	PF13942.9	YfhG lipoprotein	175	No
GBP_PSP	PF02425.18	Paralytic/GBP/PSP peptide	23	No
Lipoprotein_22	PF17294.5	Uncharacterised lipoprotein family	166	No
Lipoprotein_23	PF18966.3	Uncharacterised lipoprotein	181	No
Paramecium_SA	PF01508.19	Paramecium surface antigen domain	63	No
Lipoprotein_6	PF01441.22	Lipoprotein	170	No
RisS_PPD	PF16524.8	Periplasmic domain of Sensor histidine kinase RisS	107	No
Lipoprotein_8	PF02030.18	Hypothetical lipoprotein (MG045 family)	493	No
Lipoprotein_9	PF03180.17	NlpA lipoprotein	237	No
ParBc	PF02195.21	ParB/Sulfiredoxin domain	90	No
Lipoprotein_X	PF03305.16	Mycoplasma MG185/MG260 protein	183	No
Lipoprot_C	PF08794.13	Lipoprotein GNA1870 C terminal like	155	No
Lipoxygenase	PF00305.22	Lipoxygenase	673	No
Lip_A_acyltrans	PF03279.16	Bacterial lipid A biosynthesis acyltransferase	295	No
Pardaxin	PF07425.14	Pardaxin	33	No
PliI	PF16743.8	Periplasmic lysozyme inhibitor of I-type lysozyme	123	No
ParD_like	PF11903.11	ParD-like antitoxin of type II bacterial toxin-antitoxin system	73	No
ParE_toxin	PF05016.18	"ParE toxin of type II toxin-antitoxin system, parDE"	90	No
Parecho_VpG	PF06344.14	Parechovirus Genome-linked protein	20	No
LIX1	PF14954.9	Limb expression 1	249	No
CHASE8	PF17152.7	Periplasmic sensor domain	102	No
CHASE5	PF17149.7	Periplasmic sensor domain found in signal transduction proteins	108	No
CHASE9	PF17153.7	"Periplasmic sensor domain, extracellular"	116	No
ParE-like_toxin	PF15781.8	ParE-like toxin of type II bacterial toxin-antitoxin system	87	No
Peroxin-13_N	PF04088.16	"Peroxin 13, N-terminal region"	145	No
LMBR1	PF04791.19	LMBR1-like membrane protein	513	No
LmeA	PF11209.11	LmeA-like phospholipid-binding	219	No
LMF1	PF06762.17	Lipase maturation factor	446	No
LmjF365940-deam	PF14421.9	A distinct subfamily of CDD/CDA-like deaminases	210	No
LMP	PF04778.15	LMP repeated region	157	No
ParG	PF09274.13	ParG	76	No
Peroxin-22	PF12827.10	Peroxisomal biogenesis protein family	113	No
LMWSLP_N	PF12211.11	Low molecular weight S layer protein N terminal	262	No
LnmK_N_HDF	PF18238.4	LnmK N-terminal Hot Dog Fold domain	176	No
LNP1	PF15419.9	Leukemia NUP98 fusion partner 1	161	No
LNS2	PF08235.16	LNS2 (Lipin/Ned1/Smp2)	226	No
LNT_N	PF20154.2	Apolipoprotein N-acyltransferase N-terminal domain	156	No
Abhydro_lipase	PF04083.19	Partial alpha/beta-hydrolase lipase region	64	No
Pertactin	PF03212.17	Pertactin	121	No
LodA_N	PF17990.4	L-Lysine epsilon oxidase N-terminal	223	No
Pertus-S4-tox	PF09275.13	Pertussis toxin S4 subunit	110	No
LolA	PF03548.18	Outer membrane lipoprotein carrier protein LolA	165	No
LolA_2	PF16584.8	Outer membrane lipoprotein carrier protein LolA	152	No
LolA_3	PF19574.2	Outer membrane lipoprotein carrier protein LolA-like	192	No
LolA_like	PF17131.7	Outer membrane lipoprotein-sorting protein	184	No
LolB	PF03550.17	Outer membrane lipoprotein LolB	152	No
partial_CstF	PF15861.8	Partial cleavage stimulation factor domain	62	No
PV_NSP1	PF12433.11	Parvovirus non-structural protein 1	82	No
PAS_8	PF13188.10	PAS domain	67	No
Longin_2	PF18639.4	Yeast longin domain	161	No
Lon_C	PF05362.16	Lon protease (S16) C-terminal proteolytic domain	205	No
LON_substr_bdg	PF02190.19	ATP-dependent protease La (LON) substrate-binding domain	205	No
LOR	PF04525.15	LURP-one-related	187	No
Loricrin	PF15847.8	Major keratinocyte cell envelope protein	312	No
Pas_Saposin	PF09016.13	Pas factor saposin fold	73	No
PAS_3	PF08447.15	PAS fold	89	No
PATR	PF12951.10	Passenger-associated-transport-repeat	30	No
PASTA	PF03793.22	PASTA domain	63	No
Pertussis_S2S3	PF02918.18	"Pertussis toxin, subunit 2 and 3, C-terminal domain"	109	No
PFU	PF09070.14	PFU (PLAA family ubiquitin binding)	112	No
ASTER	PF03669.16	PAT complex subunit Asterix	97	No
TGT_C2	PF14810.9	Patch-forming domain C2 of tRNA-guanine transglycosylase	71	No
SAPIS-gp6	PF16722.8	Pathogenicity island protein gp6 in Staphylococcus	72	No
Cdd1	PF11731.11	Pathogenicity locus	86	No
PAZ_4	PF18349.4	PAZ domain	93	No
PB1	PF00564.27	PB1 domain	84	No
PgaD	PF13994.9	PgaD-like protein	148	No
PBCV_basic_adap	PF08789.13	PBCV-specific basic adaptor domain	38	No
HEAT_PBS	PF03130.19	PBS lyase HEAT-like repeat	27	No
zf-CCHH	PF10283.12	PBZ domain	26	No
PGDYG	PF14083.9	PGDYG protein	102	No
Chlam_vir	PF05475.14	Pgp3 C-terminal domain	146	No
LPD34	PF18852.4	Large polyvalent protein associated domain 34	213	No
LPD37	PF18853.4	Large polyvalent protein associated domain 37	245	No
LPD38	PF18857.4	Large polyvalent protein associated domain 38	190	No
LPD39	PF18858.4	Large polyvalent protein associated domain 39	198	No
IQ_SEC7_PH	PF16453.8	PH domain	135	No
PDDEXK_10	PF07788.14	PD-(D/E)XK nuclease superfamily	74	No
LPG_synthase_C	PF09924.12	"Phosphatidylglycerol lysyltransferase, C-terminal"	299	No
LPG_synthase_TM	PF03706.16	Lysylphosphatidylglycerol synthase TM region	300	No
LPMO_10	PF03067.18	"Lytic polysaccharide mono-oxygenase, cellulose-degrading"	193	No
PH	PF00169.32	PH domain	105	No
PDE8	PF08629.13	PDE8 phosphodiesterase	52	No
Lpp-LpqN	PF10738.12	Probable lipoprotein LpqN	174	No
PDGF	PF00341.20	PDGF/VEGF domain	82	No
LppA	PF16708.8	Lipoprotein confined to pathogenic Mycobacterium	153	No
LppC	PF04348.16	LppC putative lipoprotein	535	No
LppX_LprAFG	PF07161.16	LppX_LprAFG lipoprotein	191	No
PH_14	PF17787.4	PH domain	131	No
PDZ	PF00595.27	PDZ domain	82	No
LptC	PF06835.16	"Lipopolysaccharide-assembly, LptC-related"	175	No
LptD	PF04453.17	LPS transport system D	387	No
LptD_2	PF19838.2	LptD protein	465	No
PH_15	PF17339.5	PH domain	107	No
PH_16	PF17838.4	PH domain	127	No
LptF_LptG	PF03739.17	Lipopolysaccharide export system permease LptF/LptG	354	No
LpxB	PF02684.18	Lipid-A-disaccharide synthetase	374	No
LpxC	PF03331.16	UDP-3-O-acyl N-acetylglycosamine deacetylase	268	No
PDZ_2	PF13180.9	PDZ domain	82	No
PH_3	PF14593.9	PH domain	104	No
PH_BEACH	PF14844.9	PH domain associated with Beige/BEACH	100	No
LpxK	PF02606.17	Tetraacyldisaccharide-1-P 4'-kinase	327	No
SCAB-PH	PF17684.4	PH domain of plant-specific actin-binding protein	108	No
PDZ_5	PF17817.4	PDZ domain	73	No
LrgB	PF04172.19	LrgB-like family	214	No
LRIF1	PF15741.8	Ligand-dependent nuclear receptor-interacting factor 1	749	No
ANT	PF03374.17	Phage antirepressor protein KilAC domain	108	No
PDZ_6	PF17820.4	PDZ domain	54	No
Phage_antitermQ	PF06530.15	Phage antitermination protein Q	118	No
MCC-bdg_PDZ	PF10506.12	PDZ domain of MCC-2 bdg protein for Usher syndrome	65	No
PDZ_assoc	PF10600.12	PDZ-associated domain of NMDA receptors	70	No
LRRFIP	PF09738.12	LRRFIP family	305	No
PDZ_1	PF12812.10	PDZ-like domain	78	No
PE	PF00934.23	PE family	91	No
Pea-VEAacid	PF08111.14	Pea-VEAacid family	15	No
Pec_lyase_N	PF04431.16	"Pectate lyase, N terminus"	56	No
Pedibin	PF08182.14	Pedibin/Hym-346 family	35	No
PEGA	PF08308.14	PEGA domain	70	No
PELOTA_1	PF15608.9	PELOTA RNA binding domain	81	No
Pelovaterin	PF17859.4	Pelovaterin	42	No
Penaeidin	PF05927.14	Penaeidin	73	No
Phage_endo_I	PF05367.14	Phage endonuclease I	149	No
PBP5_C	PF07943.16	"Penicillin-binding protein 5, C-terminal domain"	91	No
BiPBP_C	PF06832.15	Penicillin-Binding Protein C-terminus Family	90	No
LRR_9	PF14580.9	Leucine-rich repeat	175	No
Pentapeptide	PF00805.25	Pentapeptide repeats (8 copies)	40	No
Pentapeptide_2	PF01469.21	Pentapeptide repeats (8 copies)	40	No
LRS4	PF10422.12	Monopolin complex subunit LRS4	249	No
Pentapeptide_3	PF13576.9	Pentapeptide repeats (9 copies)	48	No
Pentapeptide_4	PF13599.9	Pentapeptide repeats (9 copies)	78	No
LSDAT_euk	PF18139.4	SLOG in TRPM	266	No
LSDAT_prok	PF18171.4	"SLOG in TRPM, prokaryote"	194	No
PPR_3	PF13812.9	Pentatricopeptide repeat domain	63	No
PEP-CTERM	PF07589.14	PEP-CTERM motif	23	No
Pepsin-I3	PF06394.16	Pepsin inhibitor-3-like repeated domain	74	No
DUF3663	PF12404.11	Peptidase	77	No
Propeptide_C1	PF08127.16	Peptidase family C1 propeptide	40	No
Peptidase_C25_C	PF03785.17	"Peptidase family C25, C terminal ig-like domain"	79	No
Peptidase_M23	PF01551.25	Peptidase family M23	96	No
Peptidase_M23_N	PF18421.4	Peptidase family M23 N-terminal domain	73	No
Phage_T4_Gp30_7	PF06919.14	Phage Gp30.7 protein	121	No
LssY_C	PF14067.9	LssY C-terminus	188	No
Peptidase_U32_C	PF16325.8	Peptidase family U32 C-terminal domain	82	No
Phage_30_8	PF06019.14	Phage GP30.8 protein	123	No
Phage_GPL	PF05926.14	Phage head completion protein (GPL)	139	No
Inhibitor_I36	PF03995.16	Peptidase inhibitor family I36	69	No
LtrA	PF06772.14	Bacterial low temperature requirement A protein (LtrA)	356	No
Inhibitor_I78	PF11720.11	Peptidase inhibitor I78 family	65	No
Inhibitor_I9	PF05922.19	Peptidase inhibitor I9	82	No
LTV	PF04180.17	Low temperature viability protein	381	No
Peptidase_M60_C	PF18630.4	Peptidase M60 C-terminal domain	64	No
LUC7	PF03194.18	LUC7 N_terminus	251	No
PepSY	PF03413.22	Peptidase propeptide and YPEB domain	63	No
Luciferase_cat	PF10285.12	Luciferase catalytic domain	296	No
PepSY_2	PF13670.9	Peptidase propeptide and YPEB domain	84	No
LUD_dom	PF02589.18	LUD domain	189	No
Phage_attach	PF05354.14	Phage Head-Tail Attachment	117	No
Pept_S41_N	PF18294.4	Peptidase S41 N-terminal domain	49	No
Lung_7-TM_R	PF06814.16	Lung seven transmembrane receptor	295	No
LupA	PF18242.4	Legionella ubiquitin-specific protease A domain	178	No
Phage_int_SAM_6	PF18644.4	Phage integrase SAM-like domain	132	No
Peptidase_S68	PF10461.12	Peptidase S68	34	No
S8_pro-domain	PF16470.8	Peptidase S8 pro-domain	79	No
Phage_lysozyme	PF00959.22	Phage lysozyme	109	No
Luteo_P1-P2	PF08467.13	Luteovirus RNA polymerase P1-P2/replicase	339	No
Luteo_PO	PF04662.16	Luteovirus P0 protein	208	No
Phage_GP20	PF06810.14	Phage minor structural protein GP20	149	No
LuxC	PF05893.17	Acyl-CoA reductase (LuxC)	401	No
LuxE	PF04443.15	"Acyl-protein synthetase, LuxE"	375	No
LuxQ-periplasm	PF09308.13	"LuxQ, periplasmic"	239	No
LuxS	PF02664.18	S-Ribosylhomocysteinase (LuxS)	154	No
Hormone_2	PF00123.23	Peptide hormone	28	No
WW_like	PF17890.4	Peptidoglycan hydrolase LytB WW-like domain	53	No
LXG	PF04740.15	LXG domain of WXG superfamily	202	No
Phage_min_tail	PF05939.16	Phage minor tail protein	108	No
Phage_tail_U	PF06141.14	Phage minor tail protein U	130	No
Lyase_1	PF00206.23	Lyase	312	No
Lyase_8	PF02278.21	"Polysaccharide lyase family 8, super-sandwich domain"	254	No
PEP-utilizers	PF00391.26	"PEP-utilising enzyme, mobile domain"	73	No
Lyase_8_N	PF08124.14	"Polysaccharide lyase family 8, N terminal alpha-helical domain"	323	No
Lyase_aromatic	PF00221.22	Aromatic amino acid lyase	463	No
Lyase_catalyt	PF09093.14	"Lyase, catalytic"	361	No
Lyase_N	PF09092.14	"Lyase, N terminal"	167	No
Ac110_PIF	PF07280.14	Per os infectivity factor AC110	43	No
Lycopene_cycl	PF05834.15	Lycopene cyclase protein	380	No
Phage_Mu_F	PF04233.17	Phage Mu protein F like protein	112	No
LYRIC	PF15686.8	Lysine-rich CEACAM1 co-isolated protein family	424	No
PerC	PF06069.14	PerC transcriptional activator	90	No
MuF_C	PF18819.4	Phage MuF-C-terminal domain	103	No
Lys-AminoMut_A	PF09043.14	"D-Lysine 5,6-aminomutase TIM-barrel domain of alpha subunit"	508	No
LysE	PF01810.21	LysE type translocator	193	No
Phage_P2_GpU	PF06995.14	Phage P2 GpU	120	No
Pericardin_rpt	PF07054.14	Pericardin like repeat	35	No
PACT_coil_coil	PF10495.12	Pericentrin-AKAP-450 domain of centrosomal targeting protein	83	No
Lysozyme_like	PF13702.9	Lysozyme-like	165	No
LysR_substrate	PF03466.23	LysR substrate binding domain	209	No
Lysyl_oxidase	PF01186.20	Lysyl oxidase	204	No
Lys_export	PF03956.16	Lysine exporter LysO	190	No
Lys_Orn_oxgnase	PF13434.9	L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase	341	No
LYTB	PF02401.21	LytB protein	265	No
Peripla_BP_7	PF18610.4	Periplasmic binding protein domain	71	No
NapE	PF06796.14	Periplasmic nitrate reductase protein NapE	54	No
LytR_cpsA_psr	PF03816.17	LytR_cpsA_psr family	152	No
Periviscerokin	PF08259.14	Periviscerokinin family	11	No
Lyx_isomer	PF07385.15	D-lyxose isomerase	223	No
Perm-CXXC	PF15629.9	Permuted single zf-CXXC unit	32	No
PXT1	PF15214.9	Peroxisomal testis-specific protein 1	51	No
PEX-1N	PF09262.14	"Peroxisome biogenesis factor 1, N-terminal"	77	No
PEX-2N	PF09263.13	"Peroxisome biogenesis factor 1, N-terminal"	83	No
Pertus-S5-tox	PF09276.13	Pertussis toxin S5 subunit	97	No
L_HMGIC_fpl	PF10242.12	Lipoma HMGIC fusion partner-like protein	181	No
L_lactis_ph-MCP	PF06673.14	Lactococcus lactis bacteriophage major capsid protein	347	No
Phage_coat	PF09063.13	Phage PP7 coat protein	127	No
L_lac_phage_MSP	PF06488.14	Phage tail tube protein	218	No
Pim	PF16765.8	Pesticin immunity protein	91	No
PET117	PF15786.8	"PET assembly of cytochrome c oxidase, mitochondrial"	70	No
PET	PF06297.17	PET Domain	85	No
M-inducer_phosp	PF06617.16	M-phase inducer phosphatase	274	No
m04gp34like	PF12216.11	Immune evasion protein	272	No
M11L	PF11099.11	Apoptosis regulator M11L like	160	No
M157	PF11624.11	MHC class I-like protein M157	256	No
M16C_assoc	PF08367.14	Peptidase M16C associated	251	No
Phage_Gp19	PF09355.13	Phage protein Gp19/Gp15/Gp42	116	No
M3	PF09213.13	M3	376	No
GP46	PF07409.15	Phage protein GP46	100	No
Phage_CP76	PF06892.14	Phage regulatory protein CII (CP76)	144	No
MA-Mit	PF09245.13	Mycoplasma arthritidis-derived mitogen	214	No
Phage_RpbA	PF10789.12	"Phage RNA polymerase binding, RpbA"	108	No
Pet100	PF09803.12	Pet100	74	No
MAAL_C	PF07476.14	Methylaspartate ammonia-lyase C-terminus	249	No
MAAL_N	PF05034.16	Methylaspartate ammonia-lyase N-terminus	159	No
Mab-21	PF03281.17	Mab-21 protein nucleotidyltransferase domain	201	No
PetM	PF08041.14	PetM family of cytochrome b6f complex subunit 7	30	No
PetN	PF03742.17	PetN	29	No
Mac-1	PF09028.13	Mac 1	353	No
MacB_PCD	PF12704.10	MacB-like periplasmic core domain	196	No
Pex14_N	PF04695.16	Pex14 N-terminal domain	46	No
Macoilin	PF09726.12	Macoilin family	673	No
MACPF	PF01823.22	MAC/Perforin domain	212	No
Phi29_Phage_SSB	PF17427.5	Phage Single-stranded DNA-binding protein	123	No
Macro_2	PF14519.9	Macro-like domain	275	No
PGF-CTERM	PF18204.4	PGF-CTERM motif	23	No
Mac_assoc	PF16628.8	Unstructured region on maltose acetyltransferase	185	No
MAD	PF05557.16	Mitotic checkpoint protein	661	No
Phage_term_smal	PF05944.15	Phage small terminase subunit	130	No
PglD_N	PF17836.4	PglD N-terminal domain	78	No
Phage_T4_gp36	PF03903.16	Phage T4 tail fibre	131	No
PGM1_C	PF18105.4	PGM1 C-terminal domain	53	No
Phage_TAC_1	PF06222.14	Phage tail assembly chaperone	127	No
MadM	PF03818.16	Malonate/sodium symporter MadM subunit	249	No
Maelstrom	PF13017.9	piRNA pathway germ-plasm component	216	No
Maf	PF02545.17	Maf-like protein	189	No
Maf1	PF09174.13	Maf1 regulator	174	No
MafB	PF06255.16	Neisseria toxin MafB	312	No
Phage_TAC_4	PF08748.14	Phage tail assembly chaperone	128	No
PH_17	PF18012.4	PH domain	60	No
Phage_TAC_8	PF10666.12	Phage tail assembly chaperone protein Gp14 ()A118	140	No
Maf_flag10_N	PF20157.2	Glycosyltransferase Maf N-terminal domain	228	No
PH_20	PF20399.1	PH domain	84	No
MAGE	PF01454.22	MAGE homology domain	212	No
Phage_ABA_S	PF18066.4	Phage ABA sandwich domain	92	No
Phage_Coat_A	PF05357.16	Phage Coat Protein A	63	No
Phage_TAC_12	PF12363.11	"Phage tail assembly chaperone protein, TAC"	111	No
Phage_BR0599	PF09356.13	Phage conserved hypothetical protein BR0599	80	No
Phage_TAC_14	PF16462.8	"Phage tail assembly chaperone protein, TAC"	113	No
Phage_TAC_9	PF10876.11	"Phage tail assembly chaperone protein, TAC"	133	No
MAGSP	PF03082.17	Male accessory gland secretory protein	264	No
Phage_Orf51	PF06194.14	Phage Conserved Open Reading Frame 51	80	No
MAJIN	PF15077.9	Membrane-anchored junction protein	238	No
Mak10	PF04112.16	"Mak10 subunit, NatC N(alpha)-terminal acetyltransferase"	169	No
Phage_TAC_3	PF06896.14	"Phage tail assembly chaperone proteins, TAC"	115	No
Gp49	PF05973.17	Phage derived protein Gp49-like (DUF891)	90	No
Gp45_2	PF17470.5	Phage gene product 45.2	57	No
Malate_synthase	PF01274.25	Malate synthase	526	No
Malectin	PF11721.11	Malectin domain	165	No
Malectin_like	PF12819.10	Malectin-like domain	335	No
MalF_P2	PF14785.9	Maltose transport system permease protein MalF P2 domain	164	No
malic	PF00390.22	"Malic enzyme, N-terminal domain"	182	No
Malic_M	PF03949.18	"Malic enzyme, NAD binding domain"	258	No
